eventSequence,eventType,levelId,playerId,position,reason,sessionId,timestamp,viewBeforeEvent
-1,Start,Level2,7a70112f-dc1e-402d-a254-f5b647d21558,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,83fd3861-aacf-4be7-8ebd-0ac255fbbb6c,1743840001840,Platformer
-1,Start,Level2,0fc6ed73-3604-4939-a85b-3a1510180179,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,1c5f9dfe-4b43-484a-9ec3-fbd0b862eb6c,1743840086231,Platformer
1,Shift,Level2,0fc6ed73-3604-4939-a85b-3a1510180179,"{'x': 11.799993515014648, 'y': -11.0, 'z': -0.5}",N/A,1c5f9dfe-4b43-484a-9ec3-fbd0b862eb6c,1743840107687,Platformer
-1,Start,Level2,2c4520e0-b4ca-41f1-ab9f-c3dc2431281e,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,7991c1bc-ccac-414d-b056-91b9e37420c2,1743840276655,Platformer
1,Shift,Level2,2c4520e0-b4ca-41f1-ab9f-c3dc2431281e,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,7991c1bc-ccac-414d-b056-91b9e37420c2,1743840277581,Platformer
2,Shift,Level2,2c4520e0-b4ca-41f1-ab9f-c3dc2431281e,"{'x': 2.0, 'y': -12.000022888183594, 'z': -0.5}",N/A,7991c1bc-ccac-414d-b056-91b9e37420c2,1743840285858,TopDown
-1,Start,Level2,53c88a71-c19f-4157-9196-16f97e0131cf,"{'x': 21.5, 'y': -13.0, 'z': -0.5}",N/A,ff04845b-f299-4c5c-ac8c-c7352640b570,1743902840313,Platformer
-1,Lose,Level2,53c88a71-c19f-4157-9196-16f97e0131cf,"{'x': 11.699962615966797, 'y': -16.509981155395508, 'z': -0.5}",KillZone,ff04845b-f299-4c5c-ac8c-c7352640b570,1743902843414,N/A
-1,Start,Level4,53c88a71-c19f-4157-9196-16f97e0131cf,"{'x': 17.5, 'y': -10.5, 'z': -0.5}",N/A,c08c8fb0-425c-4749-93c2-6c0818bb119b,1743902849305,Platformer
-1,Start,Level0,11de23f0-aa85-4bc6-ac21-071ef1470145,"{'x': -17.610000610351562, 'y': -15.5, 'z': -0.5}",N/A,557c77ca-1826-4cfc-a92f-b1881bca7df5,1743989022172,Platformer
